Dia,Llamadas
4,315
6,227
10,309
12,442
14,343
16,342
18,452
20,269
22,353
26,540
28,296
30,338
34,376
36,318
38,420
40,562
42,391
44,442
46,624
50,325
54,518
56,312
58,350
66,359
68,467
70,294
72,350
76,325
80,390
82,464
86,341
88,432
90,354
92,241
94,289
98,262
102,243
106,249
110,327
114,243
120,120
124,209
126,175
130,174
134,213
138,238
142,236
144,281
146,233
148,198
154,237
156,290
158,337
160,287
162,296
170,329
172,386
174,272
176,208
178,298
180,359
182,261
184,319
186,371
190,267
192,297
194,408
198,315
202,297
206,351
210,330
214,345
216,299
220,341
222,315
224,275
230,267
234,392
236,383
238,239
246,342
252,266
254,302
258,268
260,412
266,267
268,256
270,357
274,262
276,271
278,344
280,261
282,267
286,296
288,283
290,315
296,321
298,356
300,273
302,302
304,330
308,236
310,237
312,350
314,277
316,314
318,376
322,240
326,324
328,280
330,257
332,314
336,248
338,306
340,331
342,279
344,227
346,232
348,328
350,237
352,197


